symbol,timestamp,currentPrice,rd,min,max,avg,macd,rsi,bbl,bbm,bbu,ema,adx,stochK,stochD,volume,williamsR,atr,cci
HD,2024-04-12T09:30-04:00[America/New_York],342.8699951171875,0.10617833769099833,342.8699951171875,383.6000061035156,359.4863614169034136363636363636364,-9.05648787925646890979253600377,9.403614767088928340796959586209,"(337.74538840980598798766858166155,358.51035084663498373580376420479,379.27531328346397948393894674803)",358.51035084663498373580376420479,42.084150170049261011020202837044,0,0,3546900,-100,5.0720344353554108925672259229034,-148.28460681920465312374647110315
ABBV,2024-04-12T09:30-04:00[America/New_York],162.27999877929688,0.10884133256399763,162.27999877929688,182.10000610351562,172.5045457319779845454545454545455,-4.15540491201870407253335480472,9.241214471629695515566215598585,"(158.65522275575243863054936054046,171.19391618110476223855086673270,183.73260960645708584655237292494)",171.19391618110476223855086673270,56.685099938272459075640669876175,0,2.6157503804981528752574969022081,7029400,-100,1.9211463880293694470112116401685,-125.56329978326166133656863518263
MRK,2024-04-12T09:30-04:00[America/New_York],125.73999786376953,0.047063275696084796,125.73999786376953,131.9499969482422,128.2500000000000009090909090909091,-1.52089871418767694580912864951,7.820433207547470227902703640847,"(123.74470016171175443018744479155,127.87589524257261761514735928561,132.00709032343348080010727377967)",127.87589524257261761514735928561,36.069608680429744353725968871285,0,1.0807873812084323081329580763888,7369700,-100,0.92569498487309913782858270263782,-87.067737240065001297809819849269
COST,2024-04-12T09:30-04:00[America/New_York],731.3099975585938,0.001801738006116527,704.8800048828125,732.6300048828125,718.7363614169034272727272727272727,-2.26188441437926126553176106603,60.042191926982252555548388117688,"(703.39396470502284754782749092656,722.91707780439144615551697578323,742.44019090376004476320646063990)",722.91707780439144615551697578323,28.747830889585866290016194076782,88.041224118020367918543940404353,79.502475019382792949583340110493,1480600,-11.958775881979632081456059595647,5.5681232429919112007792816920816,94.419780597000109542808716187150
CRM,2024-04-12T09:30-04:00[America/New_York],294.32000732421875,0.022777028748211837,294.1400146484375,304.739990234375,300.49272849343040,-0.73334311860184352009829260640,33.775907121810344191416302440610,"(293.03763265925122174221160311246,299.69887816902240844939397616217,306.36012367879359515657634921188)",299.69887816902240844939397616217,34.022644472116470032946080334369,1.0489100085719671775464255608236,20.726435685941192463782549466653,3816700,-98.951089991428032822453574439176,3.5397976897630678036820496981543,-200.34228550727020852933879635234
AMD,2024-04-12T09:30-04:00[America/New_York],163.27999877929688,0.09535157731777562,163.27999877929688,183.33999633789062,172.8318176269531272727272727272727,-3.51884934653178374688164986240,29.437911754677227256341027727140,"(158.46540928280891759197029783967,171.44426281221776311513353844788,184.42311634162660863829677905609)",171.44426281221776311513353844788,35.720680883883202945565226996032,0,9.310282896903029378958481969227,63334200,-100,4.4746918294101076630528770860864,-118.06005399556321540631384688847
BAC,2024-04-12T09:30-04:00[America/New_York],35.790000915527344,0.05617081635732602,35.790000915527344,37.91999816894531,37.11181779341264163636363636363636,-0.366945750801351806822590611504,21.540342657617224807931844459972,"(35.761466855695377633440054858305,36.978521196962355864852055830004,38.195575538229334096264056801703)",36.978521196962355864852055830004,28.044808943024825352503636501557,0,0,47118300,-100,0.39811759391986464386648662252576,-192.60651086580609022957186751416
NFLX,2024-04-12T09:30-04:00[America/New_York],622.8300170898438,-0.02552154440557982,607.3300170898438,636.1799926757812,621.4591008966619363636363636363636,4.62439359379464145841182481018,55.301964702462992368988102758008,"(604.61164637274115483794786774365,620.96757386448192762066836175907,637.32350135622270040338885577449)",620.96757386448192762066836175907,18.599328352522141493836526787668,48.942243019112359275990990722044,50.73154217119791934171036000933,2956500,-51.057756980887640724009009277956,10.052062292096050443068300553919,25.977957558283241342405900324234
CVX,2024-04-12T09:30-04:00[America/New_York],158.9600067138672,-0.007734253697334954,157.74000549316406,162.6699981689453,160.5563659667968763636363636363636,0.91680047468140915773661676619,44.044489533463359021998736934490,"(157.55011799414738011242711301764,160.45607477359100449921273862825,163.36203155303462888599836423886)",160.45607477359100449921273862825,52.859159119559208876588119080157,19.902174318892043369952231179080,62.830744319570039038093700467057,11058800,-80.097825681107956630047768820920,1.3608064701212143673502161440204,-21.408865385714550225347206854025
KO,2024-04-12T09:30-04:00[America/New_York],58.279998779296875,0.04740113617870589,58.279998779296875,61.18000030517578,59.62636358087713054545454545454545,-0.615604871061436344557047042509,18.897766812399248358374288562525,"(57.943812363430403068669343935046,59.509265074576650494093080780731,61.074717785722897919516817626416)",59.509265074576650494093080780731,54.659382050117557096265944485841,0,1.8207424337865231195758050568937,12246700,-100,0.38483614096882701157241382702163,-134.37022143768894670026934383067
LIN,2024-04-12T09:30-04:00[America/New_York],447.4100036621094,0.036418856382171086,447.4100036621094,464.70001220703125,458.5454573197798318181818181818182,-3.04533923426186056198719600565,26.349837468285280165193862276855,"(445.62826897437875162806957017317,456.90051597228854066349599202252,468.17276297019832969892241387187)",456.90051597228854066349599202252,56.957053891296424874695504223358,0E+1,5.0861355684428069472426600177353,1976700,-100,3.9487377686936186494889372203477,-159.28290628982888143106044583303
TMO,2024-04-12T09:30-04:00[America/New_York],565.22998046875,0.027494435573683213,565.22998046875,589.2000122070312,576.1636408025568090909090909090909,-1.96679403273438236411594133155,35.318987480543824435338781905735,"(563.90099328931386261877844909866,575.88662692585951997021431763313,587.87226056240517732165018616760)",575.88662692585951997021431763313,25.149798948752426587460736768586,0E+2,12.180910830366379220050248372147,1201600,-100,6.0136579921661398443356845434489,-156.87266876441270087641144363295
PEP,2024-04-12T09:30-04:00[America/New_York],168.10000610351562,0.03948339306444818,168.10000610351562,175.00999450683594,170.3181804310191781818181818181818,-1.69562577427919028694176449379,17.732748662001893626617451935207,"(166.23487237050410096630899802509,170.22829834565347109437978083507,174.22172432080284122245056364506)",170.22829834565347109437978083507,43.218200508924028037714789677103,0,0,5453500,-100,1.1962036112090655501428700222424,-97.832201043724382361569911858927
ADBE,2024-04-12T09:30-04:00[America/New_York],474.0899963378906,0.06046375227226228,474.0899963378906,504.6000061035156,490.6872697310014136363636363636364,-5.92543200297583791822920028088,18.053879997757973218522724105905,"(471.34912349415756392896913511675,488.96171341691323872736678327650,506.57430333966891352576443143625)",488.96171341691323872736678327650,47.672880395315741997101436765063,0,3.9644043908109197876280488696507,5620000,-100,5.7343250400728730976935975269678,-155.36462391101587814987734067336
ACN,2024-04-12T09:30-04:00[America/New_York],315.3999938964844,0.09004354396605789,315.3999938964844,346.6099853515625,331.7481800426136409090909090909091,-6.05316298861717121370463419134,13.904731595947519768569910958954,"(314.74053498025260042196044094066,330.38677140883726718970310037624,346.03300783742193395744575981182)",330.38677140883726718970310037624,61.445671057046825649102924981646,0,1.1662355284888736671797389512448,4207400,-100,3.6168154357551183724875485982976,-190.28112144807367038499994641661
CSCO,2024-04-12T09:30-04:00[America/New_York],48.4900016784668,0.0284511755817795,48.11000061035156,50.040000915527344,49.10818204012784136363636363636364,-0.252403772043925920906035318036,40.162531099193147870450256530479,"(47.782638850423399092403075786475,49.151852900935453237287450864043,50.521066951447507382171825941611)",49.151852900935453237287450864043,33.626282908023519886654525553396,18.181867960378531898199146581865,46.251953739346253844758443265037,16415200,-81.818132039621468101800853418135,0.63438083418061826985754008152242,-61.933281200462931489209273889750
WFC,2024-04-12T09:30-04:00[America/New_York],56.470001220703125,0.025707347952127518,56.470001220703125,57.959999084472656,57.23636384443803245454545454545455,-0.286579303609723114702584718706,28.720838513168988028676077683332,"(56.245916103395752372548818777968,57.184397658042251444609947540784,58.122879212688750516671076303600)",57.184397658042251444609947540784,47.923071765363995595250462831506,0,6.4284844950890612011449581954577,27867700,-100,0.43274686597292627607646001937439,-140.06891809208207052176234166602
DIS,2024-04-12T09:30-04:00[America/New_York],114.01000213623047,0.06824124250138887,114.01000213623047,122.81999969482422,118.6209092573686081818181818181818,-1.63086069075176836977631832935,19.101504698287388651501120046249,"(113.04385015977744239490806429699,118.09331716563592993490438378849,123.14278417149441747490070328000)",118.09331716563592993490438378849,43.271091629612946193664223535265,0,0.8020614275110350731455322732218,12146000,-100,1.7184496137900349980720855795368,-132.86646912847391289415924559521
ABT,2024-04-12T09:30-04:00[America/New_York],109.11000061035156,0.04003169897199859,109.11000061035156,113.66000366210938,111.3681807084517036363636363636364,-0.81579352055945988604271994032,29.797948542593365122440370803606,"(109.02627566835983761049229275866,111.34857694574018250705715709228,113.67087822312052740362202142590)",111.34857694574018250705715709228,47.552366528612356784020954755956,0,20.460326782974462449733726122555,4041500,-100,1.0121491527503901523151198291453,-167.88231894985338173866235609147
QCOM,2024-04-12T09:30-04:00[America/New_York],171.2899932861328,-0.011754224444795947,169.3000030517578,175.57000732421875,172.1572723388671845454545454545455,0.96748530346177343201193182630,49.952152093993489415436487479974,"(168.11470045493666417993892902086,172.10899320984156197082513627135,176.10328596474645976171134352184)",172.10899320984156197082513627135,16.604424631366926681086799167501,29.745732558457746411874733117562,46.736353766570305638367277186373,8212100,-70.254267441542253588125266882438,2.4217395934386429057669528955204,-28.342477305588203242675430752360
MCD,2024-04-12T09:30-04:00[America/New_York],267.3900146484375,0.05164035087149627,266.69000244140625,281.95001220703125,272.1736394708806818181818181818182,-3.77473773701945141013963215997,16.549241712900416511248569314768,"(260.89170289506065965834077141236,271.57040318736071457345055840195,282.24910347966076948856034539155)",271.57040318736071457345055840195,54.289017561572965547515769508247,4.1942007467571649558052872747752,9.207140393028853594881190520597,2708400,-95.805799253242835044194712725225,1.9266519261413970296613793058752,-70.764237620309293122497916015218
TMUS,2024-04-12T09:30-04:00[America/New_York],160.0500030517578,0.01942162814138756,160.0500030517578,163.25999450683594,161.5427273837002827272727272727273,-0.72309527765854941044080369437,24.010032727345784457284777572292,"(159.18527283878956667793355271812,161.31969922713687940359009698264,163.45412561548419212924664124716)",161.31969922713687940359009698264,37.434660513980512437874691974646,0E+1,2.4959549460229456509228680763256,3827400,-100,0.80251776263983463496887649287140,-103.55224138514982874434126796590
INTU,2024-04-12T09:30-04:00[America/New_York],621.1099853515625,0.04444617638221154,621.1099853515625,650.0,633.0000110973011454545454545454545,-5.62281923529726429464547194028,31.061842460895530442366677297413,"(613.70942782302500330960411739714,633.58552447528136250520282346742,653.46162112753772170080152953770)",633.58552447528136250520282346742,31.181202870464346850954994734253,0,13.355041981315308808232633684968,1454600,-100,8.6556091856169432074709855483516,-95.396402746786248144466103642084
DHR,2024-04-12T09:30-04:00[America/New_York],239.9499969482422,0.03912383559467537,239.9499969482422,249.8000030517578,245.2581800981001409090909090909091,-1.62792792821306936839722735059,30.451915816706010346609247636653,"(239.38709956544165487239791251381,245.15972613363786335768316268824,250.93235270183407184296841286267)",245.15972613363786335768316268824,28.690744022987198840785948927733,0E+1,22.088809670559075687663295378718,2684800,-100,2.7636420255850910616878267880986,-167.75079933737034547245296376151
CAT,2024-04-12T09:30-04:00[America/New_York],365.6300048828125,0.0021831940860708486,363.739990234375,379.29998779296875,370.44818115234375,1.19372132187367329905597967798,43.033641738946584381645836680246,"(360.81819918586095011522703013528,370.14973649167435376362455761482,379.48127379748775741202208509436)",370.14973649167435376362455761482,23.027745421927858114785579764857,10.344896704706416869337466926798,33.68004516663544093148390660217,2072500,-89.655103295293583130662533073202,3.9670130408151820349049168981547,-60.963218055529160539813662132900
VZ,2024-04-12T09:30-04:00[America/New_York],39.720001220703125,0.05338412565882168,39.720001220703125,42.84000015258789,41.55999998612837327272727272727273,-0.390122916643539824990436593150,14.662267669965169048690661960990,"(39.123074924578443288392974545812,41.155305625880760020505286734499,43.187536327183076752617598923186)",41.155305625880760020505286734499,35.159027590382728120690001095737,0,0,21546100,-100,0.37981885081692848614215249208535,-130.01684273595749797856832279064
AMAT,2024-04-12T09:30-04:00[America/New_York],207.86000061035156,-0.00790382057208585,203.38999938964844,212.97999572753906,208.1081820401278390909090909090909,0.89587285873760454711174913765,50.423207440373056642049761087454,"(203.74843542139918775638088870755,208.49601041954992487798113481760,213.24358541770066199958138092765)",208.49601041954992487798113481760,14.267789412134802114158437191043,44.969820148964947408736909028062,67.39135539458300037887679241791,5852400,-55.030179851035052591263090971938,3.3665700727567226062116060350714,-16.398200748494798532460287987048
IBM,2024-04-12T09:30-04:00[America/New_York],182.27000427246094,0.04550692362735032,182.27000427246094,190.9600067138672,188.2718186811967354545454545454545,-1.37611341740314333468557851388,19.226787153155926437033002673583,"(182.60935428101378084047609708698,187.57829058062160591456560324691,192.54722688022943098865510940684)",187.57829058062160591456560324691,34.277275304238162065861920774554,0,0,3545100,-100,1.8322927419343147753277964215569,-198.04442182755001429565954113699
INTC,2024-04-12T09:30-04:00[America/New_York],35.689998626708984,0.1919855081225332,35.689998626708984,44.52000045776367,39.83909086747602981818181818181818,-1.907566386510547959916300136389,11.036013160723255492632509151864,"(33.350574987509592803946066798849,39.191069078105275808123642113957,45.031563168700958812301217429065)",39.191069078105275808123642113957,48.606771912889699433487538579442,0,1.7458398421709590055377089227345,80139400,-100,0.91378322726341691772842344046418,-109.20301385399550125179705218876
GE,2024-04-12T09:30-04:00[America/New_York],154.6300048828125,-0.10380791724636425,136.47000122070312,157.67999267578125,149.61362804066051,4.27107415356871718228478059429,69.266197229958330071602799305002,"(136.01024284459287960262633170384,151.18317622224906562778931033318,166.35610959990525165295228896252)",151.18317622224906562778931033318,48.945092451033360836098282024439,82.658182308140015309187930533745,90.986843320489354588426803782733,6846900,-17.341817691859984690812069466255,4.1120260502688543540718341961823,49.656337221116243621118667652847
NOW,2024-04-12T09:30-04:00[America/New_York],768.7100219726562,-0.008276491810769821,757.0,785.5999755859375,769.5490889115767,2.88191721064662430926579677788,51.094042395919998744495241935912,"(750.42516326504073012691633207576,770.23096347790280213112496361406,790.03676369076487413533359515236)",770.23096347790280213112496361406,24.797741211602263124760162047320,30.463114539354404066337510799646,33.159945231377318430150370584199,959900,-69.536885460645595933662489200354,10.325167842067173851335906739714,-11.459490979988138727559023611332
CMCSA,2024-04-12T09:30-04:00[America/New_York],39.369998931884766,0.0918108346557911,39.369998931884766,43.349998474121094,41.00636360862038354545454545454545,-0.926839821636317106185794762933,11.777568648379258329709777514832,"(38.578659921691138941825939634509,40.831822899009392829373602888017,43.084985876327646716921266141525)",40.831822899009392829373602888017,60.076756932371321406141938130676,0,3.617556286514422849977629619266,23411800,-100,0.46057119862035284241710043559858,-112.05347467251403507317717096787
UBER,2024-04-12T09:30-04:00[America/New_York],75.27999877929688,0.02221066543602741,74.3499984741211,77.16000366210938,75.93090889670632272727272727272727,-0.437567870145508293695298260249,43.578424880815938611524552530320,"(73.895945662289643366024407157388,75.819003171158290406895335844105,77.742060680026937447766264530822)",75.819003171158290406895335844105,24.722615469804585299133738825653,20.666673448350666666666666666667,20.444460268373777777777777777778,11582600,-79.333326551649333333333333333333,1.4343363166369650165824256788271,-66.401162545738394313410543276190
AXP,2024-04-12T09:30-04:00[America/New_York],218.1999969482422,0.04167950015989924,217.64999389648438,227.69000244140625,222.5009085915305427272727272727273,-2.33740044603536809499666186543,28.443689686358432693674314551301,"(214.06722434095021173027057035894,221.64532938957195629423302361865,229.22343443819370085819547687836)",221.64532938957195629423302361865,47.953047625533131979369106633698,4.5719294062136771657587003367560,3.0479529374757847771724668911707,2441200,-95.428070593786322834241299663244,1.9573143381579715970301126989608,-105.49171211665287639708724956206
BX,2024-04-12T09:30-04:00[America/New_York],123.47000122070312,0.06013545094096454,123.47000122070312,132.0,127.8736371127041909090909090909091,-1.31975361742639649315019722824,31.460657227561046163871141733200,"(122.58963088152457250357462722112,127.72865132029089760441654112747,132.86767175905722270525845503382)",127.72865132029089760441654112747,28.401172374911532334415073113419,0,5.0986907461295618600775980802733,4002800,-100,1.9910635961652841232719101944082,-132.64908069558778084517234521552
MS,2024-04-12T09:30-04:00[America/New_York],86.19000244140625,0.08464317024989998,86.19000244140625,94.16000366210938,91.82909115878018545454545454545455,-1.279711034629505122393390059932,14.988620101438638488118304819774,"(85.876998730692706270268377031565,91.091779013837917789924818938755,96.306559296983129309581260845945)",91.091779013837917789924818938755,37.874064021034890759607005177359,0,0,12789000,-100,1.3300658362031515237770733549699,-218.80786532723745874433969185123
