symbol,timestamp,currentPrice,rd,min,max,avg,macd,rsi,bollingerBands,ema,adx,stochK,stochD,volume,williamsR,atr,cci
EOG,2024-04-19T11:40:38-04:00[America/New_York],133.5800018310547,-0.04489991909881488,127.83999633789062,137.9499969482422,133.73124885559082375,1.23853501341777143209626149141,57.686188663131664370436155480933,"(127.70326517797976330277691312821,133.00730705142179112744377300587,138.31134892486381895211063288353)",133.00730705142179112744377300587,31.999111348842149136302686559382,48.520748983285164585837498777006,40.067621920887463957882730339883,601842,-51.479251016714835414162501222994,1.4332803161681489479759667584854,-7.1409999065495323037107498393089
SLB,2024-04-19T11:40:48-04:00[America/New_York],49.75,0.09231894264751399,49.75,55.220001220703125,53.241250038146971875,-1.077525824161766175222363266705,15.158949230512754614912132452709,"(49.134442643763563605651689485985,52.637255408128243065567364837276,56.140068172492922525483040188567)",52.637255408128243065567364837276,48.051796287612180287266387325750,0E+13,0.88795988103557125460878977408453,6611081,-100,0.93682834388267290231586772567845,-150.75492521446487210399620672138
ITW,2024-04-19T11:40:18-04:00[America/New_York],250.28500366210938,0.06724922227541055,248.8300018310547,268.3299865722656,258.450936317443848125,-4.64438600719963192266901175940,16.462073199683634797406108370738,"(244.63139517753591420664295822445,256.94041900682277325537331115662,269.24944283610963230410366408879)",256.94041900682277325537331115662,34.936277251760530861726175571681,6.9750804816978339703250433638282,2.3250268272326113234416811212761,218280,-93.024919518302166029674956636172,2.3866650491513176217930926039704,-106.95443237670890349627734309054
ZTS,2024-04-19T11:40:48-04:00[America/New_York],147.9600067138672,0.12558358936734507,147.9600067138672,169.2100067138672,160.00812625885010,-4.75683770230230447746447124632,22.336123471861167387078954600811,"(143.61189010893010553849389873915,158.14679584428789371984225572399,172.68170157964568190119061270883)",158.14679584428789371984225572399,41.682673727145060484339250908948,0E+1,8.5945964214787321440471906304207,2338070,-100,3.1302020321021010087254148288108,-117.24816697589123778988512782820
CME,2024-04-19T11:40:41-04:00[America/New_York],212.8800048828125,0.011194149651522756,206.22999572753906,215.2899932861328,211.1181249618530275,-1.40148679629366630915613358921,51.460696696541231961523304403352,"(205.97895535909663249755782538220,211.03670125022683527991496025124,216.09444714135703806227209512028)",211.03670125022683527991496025124,48.463468812696442750541779967797,64.814842355740654943486020226056,39.831052944675788221296847114813,498282,-35.185157644259345056513979773944,2.4100641560495485406422153954685,38.752216549109987336665563259203
EQIX,2024-04-19T11:40:05-04:00[America/New_York],743.4099731445312,0.0992573179807114,734.5599975585938,825.3300170898438,773.73436355590820625,-21.07408039381356971420952090811,23.064703048446721895702186604170,"(717.87444430480147130325903129963,769.48184787961748162927043652297,821.08925145443349195528184174631)",769.48184787961748162927043652297,50.193156855259868943696286343527,9.5294239810932646239297327539395,5.0751783341285099292527005683233,121124,-90.470576018906735376070267246061,8.3295319877116958387564279843454,-100.22458037665888437954665265250
SO,2024-04-19T11:40:44-04:00[America/New_York],71.75,-0.00013942203133966534,67.7699966430664,71.75,70.133124828338623125,-0.415799977032469486606526898708,58.308176071772973265418843459688,"(67.977867394250410632183936630043,70.208726664542998747724058943705,72.439585934835586863264181257367)",70.208726664542998747724058943705,27.473337128132524914787997487053,92.343354203508058672369997009631,68.136134668977311248882358494907,1840136,-7.6566457964919413276300029903691,0.65786614071711628643200665694634,112.77959208151821556659586337647
DUK,2024-04-19T11:40:46-04:00[America/New_York],97.30999755859375,-0.006204099677397506,92.87000274658203,97.31999969482422,95.705625534057616875,-0.323019373904572014271784826995,57.755720105264595762203968057593,"(93.407246385639618047148618852535,95.676771319157477398242736990732,97.946296252675336749336855128929)",95.676771319157477398242736990732,14.957447210487195971827203067938,96.103885380611436150817766269453,65.873010630521151372631912701137,943771,-3.8961146193885638491822337305467,0.80839463858683003103751233017177,118.14511456601632932516341227134
MAR,2024-04-19T11:40:35-04:00[America/New_York],236.50999450683594,0.06262139116421095,236.3000030517578,258.54998779296875,248.97937393188476625,-3.08791232811685704397363517005,26.327685093300670186829667346913,"(234.05036528948480546166179481697,247.05593431397977085736207828427,260.06150333847473625306236175157)",247.05593431397977085736207828427,23.272351364712163335073322137551,0.86523040012982705778487702351543,0.28841013337660901926162567450514,433027,-99.134769599870172942215122976485,3.8343026648254908390600338139594,-173.11511215156743083775709083050
PSX,2024-04-19T11:40:11-04:00[America/New_York],155.36000061035156,0.04885512370792131,153.30999755859375,172.7100067138672,163.871876716613769375,-2.02133682517022054012522436406,30.858373800815507921714033675290,"(150.21487987191848008376747570551,161.47495442218310556764896817665,172.73502897244773105153046064779)",161.47495442218310556764896817665,26.260679609929972478343279063492,9.8700174774442345595571517405691,3.2900058258147448531857172468564,741636,-90.129982522555765440442848259431,2.2298909904417104689026674992817,-127.40663754594149796625053361120
MO,2024-04-19T11:40:37-04:00[America/New_York],41.85499954223633,0.04046307732388045,40.75,43.619998931884766,41.828437328338623,-0.583597131103225849313962845256,41.855153256797788767966045536948,"(40.223290195922026485115163221633,41.819699319761109555493279050492,43.416108443600192625871394879351)",41.819699319761109555493279050492,41.987355492322859454605936859435,34.531227461999160099207779202647,20.885383076973892358613822779156,2756724,-65.468772538000839900792220797353,0.43453289590242582843216187073899,-9.7221785386136672142407487946599
PH,2024-04-19T11:40:35-04:00[America/New_York],538.4249877929688,0.031243798774508804,538.0900268554688,566.6699829101562,551.78031158447266875,-3.95802551743862676212680583693,31.331278001672855245332525755735,"(531.33450934652147833145308935709,549.09500461061712346304660651979,566.85549987471276859464012368249)",549.09500461061712346304660651979,13.810628117623457060936165774135,1.0447940206103151628307324866025,0.34826467353677172094357749553417,149415,-98.955205979389684837169267513398,5.4164271435153369429998008182064,-126.83164617547790061795304481534
MCO,2024-04-19T11:39:16-04:00[America/New_York],373.42999267578125,0.04986898242981674,370.7300109863281,397.8900146484375,385.09000396728515625,-5.13346170695962863208025249175,27.731811366185825194861832761787,"(363.86072796464701174907765094199,382.28393019366620355582275623677,400.70713242268539536256786153155)",382.28393019366620355582275623677,20.915912489726455759506334172612,8.5307494790798586178764840443463,11.848311376421853174773660868053,152929,-91.469250520920141382123515955654,4.7158531601307964929569812408540,-98.307314742035548446668651333622
CL,2024-04-19T11:40:46-04:00[America/New_York],86.75499725341797,0.03659084604856679,85.8499984741211,90.05000305175781,87.3678116798400875,-0.901370944329820880368489075453,29.327456680729919101415888544362,"(84.936528524897413574101815521760,87.324569928145010134079834185903,89.712611331392606694057852850046)",87.324569928145010134079834185903,43.882697956588884136581267899437,20.022077961535657505500111922458,19.653380505002356184460983174021,1849753,-79.977922038464342494499888077542,0.54714949758174940632496165070233,-48.972283796008393448598142613669
FCX,2024-04-19T11:40:48-04:00[America/New_York],50.41999816894531,-0.07230960608423924,47.02000045776367,51.29999923706055,49.578125238418579,0.770328091412299349374856119900,65.148326512114782535307612873087,"(47.229579158189027330305252947260,49.512079064546070919447520148692,51.794578970903114508589787350124)",49.512079064546070919447520148692,39.928173852796170036307480400548,62.962947264613647955462175377461,57.65432281912844477558214825898,6565347,-37.037052735386352044537824622539,0.82349124192640340884896837533473,58.808582732365514406683892039711
BDX,2024-04-19T11:37:48-04:00[America/New_York],234.75999450683594,0.05128309799114914,231.00999450683594,247.4499969482422,239.717499732971189375,-3.59131681289223045506216965801,35.343874937031842038597545942166,"(228.13588502194802607008484627061,238.58919051443261466644711795958,249.04249600691720326280938964855)",238.58919051443261466644711795958,38.580814069782541412399150514562,21.539340673209587157407790299893,13.574593347368063052442174837144,295357,-78.460659326790412842592209700107,2.4050914785083484367099343901836,-79.936208645676294289670518452397
CSX,2024-04-19T11:40:35-04:00[America/New_York],34.31999969482422,0.0741839768718412,34.15999984741211,37.06999969482422,35.6393744945526125625,-0.668271792773994576928702993294,13.347223590447638224612067688503,"(33.678033933146566883820589874972,35.425337936585475764745473839915,37.172641940024384645670357804858)",35.425337936585475764745473839915,50.317825125163243277354006799210,5.3156125127209715171855001134523,4.3189325262899856537767748639903,3256065,-94.684387487279028482814499886548,0.32177914209113401863319141358867,-120.78654522779368385607494550168
MCK,2024-04-19T11:39:46-04:00[America/New_York],521.5050048828125,0.028583349913310404,518.8099975585938,540.0900268554688,529.5865592956543,-3.84809684942880389428266596451,36.822723272909337843890338591651,"(514.94677632233172976961668244645,527.92595264786506625883034158168,540.90512897339840274804400071691)",527.92595264786506625883034158168,29.488255400851603280095762901175,11.140996495335761972261250070159,9.028608192902117327518141091604,203975,-88.859003504664238027738749929841,5.3232141802749222197529686611123,-115.28504693101242543404155011057
PYPL,2024-04-19T11:40:46-04:00[America/New_York],62.14500045776367,0.07232419108086283,62.099998474121094,67.0,64.735311746597288375,-1.038119707671417817927774886989,25.312686225789497132676140338874,"(61.511101721624554999842650036406,64.467326614712173016283899449490,67.423551507799791032725148862574)",64.467326614712173016283899449490,20.243388624750248929891877431714,0.80074664856605830404369901166071,0.26691554952201943468123300388690,4816423,-99.199253351433941695956300988339,0.98503719267535411251959502341416,-162.69788084704425107177614289896
APH,2024-04-19T11:40:39-04:00[America/New_York],110.91999816894531,0.03840485794344996,110.87999725341797,117.37999725341797,114.00749969482422,-0.98458870152473748439652038015,32.306796335055713891850273180774,"(109.59694944484932554838415567684,113.46270107735550999398525036278,117.32845270986169443958634504872)",113.46270107735550999398525036278,19.565291133577565580589263753413,0.51680732736777304375900694912348,0.17226910912259101458633564970783,920245,-99.483192672632226956240993050877,1.7726249022463952771954666627975,-126.89030799998057412999326200293
