symbol,timestamp,price,change,min,max,average
CTAS,2024-04-10T15:13:47-04:00[America/New_York],671.593505859375,0.022468484315450014,664.510009765625,687.030029296875,676.3437160915798555555555555555556
FDX,2024-04-10T15:14:09-04:00[America/New_York],269.2900085449219,0.07058045964904881,269.2900085449219,289.739990234375,277.1011115180121611111111111111111
ORLY,2024-04-10T15:10:42-04:00[America/New_York],1092.300048828125,0.0324037593867072,1092.300048828125,1140.2099609375,1116.087782118055555555555555555556
USB,2024-04-10T15:14:09-04:00[America/New_York],42.02000045776367,0.059955263074575944,42.02000045776367,44.70000076293945,43.40222210354275044444444444444444
NOC,2024-04-10T15:14:01-04:00[America/New_York],457.0,0.04525133392469407,454.5,478.6600036621094,461.7088894314236111111111111111111
ECL,2024-04-10T15:14:09-04:00[America/New_York],222.71499633789062,0.03544823635752544,222.71499633789062,230.89999389648438,226.9072180853949655555555555555556
PXD,2024-04-10T15:13:33-04:00[America/New_York],274.9200134277344,-0.04731433686755962,262.5,274.9200134277344,269.5522257486979166666666666666667
EMR,2024-04-10T15:14:01-04:00[America/New_York],113.7699966430664,-0.0030858621034338942,113.04000091552734,114.66999816894531,113.7822214762369755555555555555556
AON,2024-04-10T15:13:39-04:00[America/New_York],316.8949890136719,0.05041655323471041,314.7699890136719,333.7200012207031,323.0349968804253444444444444444444
PCAR,2024-04-10T15:14:08-04:00[America/New_York],118.56500244140625,0.042981652873323985,118.56500244140625,123.88999938964844,121.33388858371311
PNC,2024-04-10T15:14:10-04:00[America/New_York],154.6699981689453,0.04288371084671362,154.6699981689453,161.60000610351562,158.61111111111111
NVDA,2024-04-10T15:14:32-04:00[America/New_York],866.9099731445312,0.04056180498593391,853.5399780273438,903.6300048828125,880.2511121961805777777777777777778
MSFT,2024-04-10T15:14:27-04:00[America/New_York],422.010009765625,-0.003066192577436274,417.8800048828125,426.2799987792969,422.6066691080729166666666666666667
GOOG,2024-04-10T15:14:32-04:00[America/New_York],157.6199951171875,-0.03520294761412798,151.94000244140625,158.13999938964844,155.4199981689453133333333333333333
AAPL,2024-04-10T15:14:34-04:00[America/New_York],168.0850067138672,0.01979816362408876,168.0850067138672,171.47999572753906,169.4005550808376766666666666666667
AMZN,2024-04-10T15:14:34-04:00[America/New_York],185.25,-0.02699853079808591,180.0,185.6699981689453,182.8477800157335055555555555555556
GOOGL,2024-04-10T15:14:34-04:00[America/New_York],156.12010192871094,-0.034387527362296846,150.52999877929688,156.60000610351562,154.0555674235026022222222222222222
META,2024-04-10T15:14:33-04:00[America/New_York],517.6950073242188,-0.06613744725900836,485.5799865722656,527.3400268554688,508.1272277832031333333333333333333
AVGO,2024-04-10T15:14:28-04:00[America/New_York],1326.739990234375,-0.0010034298974585824,1317.5,1363.2099609375,1336.832221137152777777777777777778
JPM,2024-04-10T15:14:32-04:00[America/New_York],194.939697265625,0.02676138644265367,194.939697265625,200.3000030517578,197.7855207655164922222222222222222
V,2024-04-10T15:14:33-04:00[America/New_York],274.8351135253906,0.01521023810776135,274.0,279.0799865722656,277.0239020453558944444444444444444
TSLA,2024-04-10T15:14:34-04:00[America/New_York],170.91000366210938,0.02776033796235646,164.89999389648438,176.8800048828125,171.4222225613064222222222222222222
LLY,2024-04-10T15:14:17-04:00[America/New_York],760.0106201171875,0.023072396200970322,757.239990234375,784.2100219726562,769.4767388237847222222222222222222
MA,2024-04-10T15:14:26-04:00[America/New_York],470.010009765625,0.024004812141074517,469.7699890136719,481.57000732421875,476.08444552951390
WMT,2024-04-10T15:14:27-04:00[America/New_York],60.45500183105469,-0.004736640697730234,59.15999984741211,60.45500183105469,59.792777591281467
UNH,2024-04-10T15:14:32-04:00[America/New_York],451.1365051269531,0.08806045281002921,451.1365051269531,494.70001220703125,464.4729478624131888888888888888889
XOM,2024-04-10T15:14:33-04:00[America/New_York],122.1050033569336,-0.050456001384632805,116.23999786376953,122.1050033569336,119.6372231377495655555555555555556
ORCL,2024-04-10T15:14:33-04:00[America/New_York],121.69000244140625,0.03120769166386153,121.69000244140625,126.23999786376953,124.4477784898546011111111111111111
HD,2024-04-10T15:14:32-04:00[America/New_York],349.5050048828125,0.088881649317551,349.5050048828125,383.6000061035156,362.5616658528645888888888888888889
JNJ,2024-04-10T15:14:32-04:00[America/New_York],150.45889282226562,0.04887230229359306,150.45889282226562,158.19000244140625,154.1320970323350677777777777777778
PG,2024-04-10T15:14:31-04:00[America/New_York],156.85000610351562,0.03328193464705319,155.4499969482422,162.25,157.8500010172526055555555555555556
ABBV,2024-04-10T15:14:23-04:00[America/New_York],169.63999938964844,0.06842397746425241,167.89999389648438,182.10000610351562,174.2622222900390633333333333333333
COST,2024-04-10T15:14:31-04:00[America/New_York],720.9600219726562,0.015928890207032902,704.8800048828125,732.6300048828125,715.6466674804687555555555555555556
CVX,2024-04-10T15:14:28-04:00[America/New_York],162.38999938964844,-0.029478849591430347,157.74000549316406,162.38999938964844,160.5544467502170155555555555555556
MRK,2024-04-10T15:14:08-04:00[America/New_York],126.47000122070312,0.041530851491331414,126.47000122070312,131.9499969482422,128.7311113145616333333333333333333
CRM,2024-04-10T15:14:30-04:00[America/New_York],298.8999938964844,0.007570219917467284,294.1400146484375,304.739990234375,301.2477789984809055555555555555556
AMD,2024-04-10T15:14:34-04:00[America/New_York],165.00999450683594,0.0857665827203624,165.00999450683594,183.33999633789062,173.9155544704861133333333333333333
NFLX,2024-04-10T15:13:59-04:00[America/New_York],617.6602172851562,-0.01700920406472224,607.3300170898438,636.1799926757812,620.3911404079861
BAC,2024-04-10T15:14:33-04:00[America/New_York],36.665000915527344,0.03309592072833351,36.665000915527344,37.91999816894531,37.34499952528211755555555555555556
KO,2024-04-10T15:14:34-04:00[America/New_York],58.86159896850586,0.03789475850123174,58.86159896850586,61.18000030517578,59.83351135253906233333333333333333
LIN,2024-04-10T15:14:26-04:00[America/New_York],451.0899963378906,0.028493303707867335,451.0899963378906,464.70001220703125,460.4655592176649277777777777777778
TMO,2024-04-10T15:14:24-04:00[America/New_York],575.5499877929688,0.009738363011148634,570.6099853515625,589.2000122070312,577.7600029839409666666666666666667
PEP,2024-04-10T15:14:32-04:00[America/New_York],168.86000061035156,0.03514081532208813,168.86000061035156,175.00999450683594,170.7722201877170155555555555555556
ADBE,2024-04-10T15:14:29-04:00[America/New_York],487.1400146484375,0.03460164733231551,484.2799987792969,504.6000061035156,493.2344428168402722222222222222222
ACN,2024-04-10T15:14:08-04:00[America/New_York],324.31500244140625,0.06432296775161485,324.31500244140625,346.6099853515625,334.2838880750868055555555555555556
DIS,2024-04-10T15:14:33-04:00[America/New_York],117.04000091552734,0.04347825815860737,117.04000091552734,122.81999969482422,119.2799996270073788888888888888889
CSCO,2024-04-10T15:14:32-04:00[America/New_York],49.2400016784668,0.013424126848200144,48.11000061035156,50.040000915527344,49.133333841959636
WFC,2024-04-10T15:14:29-04:00[America/New_York],56.755001068115234,0.020790166242087436,56.68000030517578,57.959999084472656,57.36166720920138866666666666666667
ABT,2024-04-10T15:14:32-04:00[America/New_York],110.95999908447266,0.023755098457178877,110.11000061035156,113.66000366210938,111.5866656833224822222222222222222
QCOM,2024-04-10T15:14:31-04:00[America/New_York],170.73989868164062,-0.00850499470719218,169.3000030517578,175.57000732421875,171.90998840332031
TMUS,2024-04-10T15:14:26-04:00[America/New_York],159.9600067138672,0.019973008714954086,159.9600067138672,163.25999450683594,161.7566663953993066666666666666667
MCD,2024-04-10T15:14:29-04:00[America/New_York],267.5199890136719,0.05117936715237175,266.69000244140625,281.95001220703125,272.9722222222222222222222222222222
INTU,2024-04-10T15:14:30-04:00[America/New_York],628.322509765625,0.03334998497596154,621.280029296875,650.0,634.9047376844618222222222222222222
DHR,2024-04-10T15:14:26-04:00[America/New_York],245.40499877929688,0.017279362567328482,241.89999389648438,249.8000030517578,245.9361097547743033333333333333333
CAT,2024-04-10T15:14:29-04:00[America/New_York],370.25,-0.010424930820547509,363.739990234375,379.29998779296875,370.61110772026910
AMAT,2024-04-10T15:14:33-04:00[America/New_York],208.91099548339844,-0.013000047575045219,203.38999938964844,210.41000366210938,207.5567779541015611111111111111111
VZ,2024-04-10T15:14:33-04:00[America/New_York],40.45500183105469,0.035867428175776386,40.45500183105469,42.84000015258789,41.91277779473198788888888888888889
INTC,2024-04-10T15:14:33-04:00[America/New_York],37.19779968261719,0.15784919120123664,37.19779968261719,44.52000045776367,40.54531097412109444444444444444444
IBM,2024-04-10T15:14:29-04:00[America/New_York],185.88999938964844,0.026550100261651197,185.88999938964844,190.9600067138672,189.1855570475260455555555555555556
GE,2024-04-10T15:14:26-04:00[America/New_York],156.61000061035156,-0.1179418814910651,136.47000122070312,156.61000061035156,148.1599900987413177777777777777778
CMCSA,2024-04-10T15:14:32-04:00[America/New_York],39.775001525878906,0.08246821393491802,39.775001525878906,43.349998474121094,41.290555742051866
NOW,2024-04-10T15:14:13-04:00[America/New_York],769.7000122070312,-0.009575009915010244,757.0,785.5999755859375,769.4999932183159666666666666666667
UBER,2024-04-10T15:14:31-04:00[America/New_York],73.73500061035156,0.0422781834489403,73.73500061035156,77.16000366210938,75.90722232394748333333333333333333
AXP,2024-04-10T15:14:20-04:00[America/New_York],216.8300018310547,0.04769643152490309,216.8300018310547,227.69000244140625,223.3655565049913211111111111111111
BX,2024-04-10T15:14:32-04:00[America/New_York],126.2750015258789,0.03878354099628042,126.01000213623047,132.0,128.4961115519205733333333333333333
COP,2024-04-10T15:14:33-04:00[America/New_York],133.0050048828125,-0.04497962098069126,127.27999877929688,133.52000427246094,131.2450002034505188888888888888889
TXN,2024-04-10T15:14:32-04:00[America/New_York],169.0500030517578,0.02961944471183274,167.5,174.2100067138672,170.6755574544270844444444444444444
MS,2024-04-10T15:14:26-04:00[America/New_York],91.62000274658203,0.026975369761476162,91.62000274658203,94.16000366210938,93.00666724310981111111111111111111
AMGN,2024-04-10T15:14:25-04:00[America/New_York],266.79998779296875,0.06162077616743794,266.79998779296875,284.32000732421875,273.5988905164930555555555555555556
PM,2024-04-10T15:14:33-04:00[America/New_York],89.54000091552734,0.022702486015067122,89.4800033569336,91.81999969482422,90.71000077989366444444444444444444
PFE,2024-04-10T15:14:33-04:00[America/New_York],26.290000915527344,0.05261257962063625,26.290000915527344,27.75,27.02222209506564677777777777777778
UNP,2024-04-10T15:14:33-04:00[America/New_York],237.20689392089844,0.03546984513752578,237.20689392089844,245.92999267578125,241.5885416666666622222222222222222
ISRG,2024-04-10T15:13:48-04:00[America/New_York],388.9100036621094,0.025508012651768604,378.9200134277344,399.0899963378906,388.2055562337239611111111111111111
SPGI,2024-04-10T15:13:33-04:00[America/New_York],425.1449890136719,7.169424952582221E-4,425.1449890136719,435.0,428.8194410536024277777777777777778
